CRLF,Bullfrog,BIGFROG,COEX,Latitude,Longitude,Elevation,Turbidity,WaterColor,MaxDepth,AvgDepth,CanopyCover,CANOPY1,CANOPY2,VegetatedEdge,VEGEDGE1,VegetatedEdgeSp2,VEGEDGE3,VEGEDGE4,CenterVeg(%),CENTERVEG1,CenterVegSp2,CENTERVEG3,CENTERVEG4,SUBVEG,ALGAE,HABITAT,ORIGIN,DRAIN,WHENDRY,Area(m2),SUBSTRATE,Condition,TrailDistance(m),DirtRoadDistance(m),PavedRoadDistance,PTF,WT,WEPT,CTS,CalNewt,GATR,CRAYFISH,BIGFISH,MOSQUITO,SIZE,Length,Width
1,0,1,0,36.535493,-121.90014,3.6576,2,1,1.2192,0.9144,20,2,0,100,2,1,4,3,90,3,2,0,0,0,0,1,1,1,0,37.1612,0,2,6.096,6.096,60.96,1,0,0,0,0,0,0,0,0,0,6.096,6.096
1,0,1,0,36.472917,-121.187717,479.7552,3,1,9.144,4.572,0,0,0,40,1,2,0,0,5,3,4,2,0,1,1,1,1,1,0,13378.032,5,2,3.048,3.048,1126.5408,1,0,0,0,0,1,0,0,0,4,365.76,36.576
1,0,1,0,38.063977,-122.918139,6.096,4,2,4.572,4.572,0,0,0,80,1,0,0,0,15,4,0,0,0,1,1,2,1,1,0,14864.48,0,2,6.096,6.096,1066.8,1,0,0,0,1,0,0,0,0,4,121.92,121.92
1,0,1,0,38.092741,-122.911635,16.1544,3,1,1.524,0.9144,0,0,0,90,1,0,0,0,15,4,0,0,0,1,1,2,1,1,0,55.7418,0,3,9.144,9.144,9.144,1,0,0,0,1,1,0,0,0,1,6.096,9.144
1,0,1,0,38.055548,-122.793976,7.9248,4,2,3.048,1.524,0,0,0,15,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,139.3545,0,2,76.2,76.2,76.2,1,0,0,0,0,0,0,0,0,1,9.144,15.24
1,0,1,0,38.055311,-122.795274,7.9248,4,2,3.048,1.524,0,0,0,15,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,111.4836,0,2,60.96,60.96,60.96,1,0,0,0,0,0,0,0,0,1,9.144,12.192
1,0,1,0,38.159363,-122.923058,110.9472,3,1,3.048,3.048,0,0,0,90,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0,929.03,0,2,30.48,30.48,30.48,1,0,0,0,0,0,0,0,0,2,30.48,30.48
1,0,1,0,36.47039,-121.777429,547.116,3,1,3.048,1.524,0,0,0,100,2,0,0,0,100,3,0,0,0,2,1,1,1,1,0,148.6448,0,2,137.16,137.16,335.28,1,0,0,0,0,0,0,0,0,1,12.192,12.192
1,0,1,0,36.468933,-121.794033,437.9976,2,1,4.572,2.4384,0,0,0,100,1,0,0,0,50,3,4,4,0,2,1,1,1,1,0,975.4815,0,2,6.096,6.096,36.576,1,1,0,0,1,0,0,0,0,2,45.72,21.336
1,0,1,0,36.468075,-121.758013,590.0928,4,2,1.8288,1.524,0,0,0,50,1,0,0,0,5,2,0,0,0,1,1,1,1,0,3,83.6127,0,2,30.48,30.48,609.6,1,0,0,0,0,0,0,0,0,0,9.144,9.144
1,0,1,0,36.514775,-121.867096,133.1976,3,1,1.524,0.9144,10,2,1,100,2,0,0,0,100,3,1,0,0,1,1,1,0,1,0,650.321,0,2,60.96,60.96,68.58,1,0,0,0,0,0,0,0,0,2,30.48,21.336
1,0,1,0,36.506817,-121.868767,261.8232,3,1,1.524,0.9144,10,1,0,100,1,2,0,0,60,1,3,0,0,2,2,1,1,1,0,232.2575,0,3,1.524,1.524,1.524,1,0,0,0,1,1,0,0,0,1,15.24,15.24
1,0,1,0,36.505717,-121.872383,305.1048,4,2,1.2192,0.6096,0,0,0,100,3,2,0,0,100,4,1,0,0,0,0,1,1,1,0,594.5792,0,2,124.968,199.9488,124.968,1,0,0,0,1,0,0,0,0,2,24.384,24.384
1,0,1,0,36.502381,-121.867565,245.9736,3,1,0.9144,0.6096,10,1,2,80,2,0,0,0,50,3,0,0,0,0,1,1,1,0,4,37.1612,0,2,152.4,152.4,152.4,1,0,0,0,0,0,0,0,0,0,6.096,6.096
1,0,1,0,36.508341,-121.843575,47.8536,3,1,1.2192,0.9144,10,3,0,5,4,0,0,0,100,1,4,4,0,2,3,0,1,1,0,148.6448,0,2,15.24,15.24,15.24,1,0,0,0,0,0,0,0,0,2,30.48,4.8768
1,0,1,0,36.5022,-121.819767,256.032,3,3,3.048,1.524,0,0,0,100,2,0,0,0,5,3,0,0,0,1,1,1,1,1,0,929.03,0,3,60.96,60.96,60.96,1,0,0,0,0,0,0,0,0,2,30.48,30.48
1,0,1,0,36.50139,-121.81799,253.8984,4,2,1.2192,1.2192,0,0,0,65,2,0,0,0,30,3,1,1,0,2,1,1,1,1,0,148.6448,0,2,30.48,30.48,30.48,1,0,0,0,1,1,0,0,0,1,12.192,12.192
1,0,1,0,36.497477,-121.815975,248.7168,3,1,2.4384,1.8288,40,1,0,90,1,0,0,0,30,3,1,0,0,1,1,1,1,1,0,83.6127,0,2,91.44,91.44,91.44,1,0,0,0,0,0,0,0,0,2,9.144,9.144
1,0,1,0,36.482781,-121.793828,480.9744,3,1,3.048,2.4384,0,0,0,90,1,0,0,0,10,2,0,0,0,2,1,1,1,0,2,92.903,0,2,15.24,15.24,15.24,1,0,0,1,0,0,0,0,0,1,7.62,12.192
1,0,1,0,36.433776,-121.743975,618.744,4,2,0.9144,0.6096,0,0,0,10,2,1,3,0,5,4,0,0,0,1,3,1,1,1,0,148.6448,0,2,60.96,60.96,60.96,1,0,0,0,0,1,0,0,0,1,12.192,12.192
1,0,1,0,36.465454,-121.835152,362.1024,3,2,1.8288,1.2192,40,1,0,40,1,2,0,0,30,4,0,0,0,2,1,1,1,1,0,250.8381,0,2,60.96,60.96,91.44,1,0,0,0,0,0,0,0,0,2,13.716,18.288
1,0,1,0,36.96948,-122.10256,65.2272,2,1,3.048,1.8288,10,1,0,100,3,2,4,0,30,3,4,0,0,1,1,3,1,1,0,975.4815,0,4,6.096,30.48,167.64,1,0,0,0,0,0,0,0,0,2,45.72,21.336
1,0,1,0,36.959812,-122.089427,15.8496,2,1,0.6096,0.3048,40,2,0,100,1,2,5,0,95,4,3,0,0,4,0,3,1,0,3,139.3545,4,4,2.4384,2.4384,82.296,1,0,0,0,1,1,0,0,0,2,91.44,1.524
1,0,1,0,36.961315,-122.104265,21.9456,3,1,0.9144,0.3048,0,0,0,100,3,2,0,0,100,4,1,3,0,0,2,3,1,1,0,2.322575,2,4,1.524,1.524,152.4,1,0,0,0,1,0,0,0,0,0,1.524,1.524
1,0,1,0,36.9648,-122.112867,21.9456,3,1,0.9144,0.4572,0,0,0,90,1,2,3,0,75,1,3,2,0,4,3,3,1,0,3,139.3545,2,4,6.096,6.096,243.84,1,0,0,0,1,0,0,0,0,2,91.44,1.524
0,1,1,0,37.379499,-121.746679,612.648,2,1,3.048,1.524,0,0,0,100,1,3,0,0,10,2,0,0,0,1,1,1,1,1,0,5574.18,0,2,51.816,51.816,1371.6,1,1,0,0,0,0,0,0,0,3,91.44,60.96
0,1,1,0,37.972506,-122.725607,246.888,3,1,3.048,1.2192,10,1,0,90,0,0,0,0,25,1,0,0,0,1,1,0,1,1,0,92903,0,3,3.048,12.192,12.192,1,0,0,0,1,1,0,0,0,4,304.8,304.8
0,1,1,0,37.972506,-122.725607,620.5728,2,1,3.048,1.524,15,1,0,100,1,2,0,0,40,3,2,0,0,2,1,1,1,1,0,464.515,0,2,6.096,6.096,6.096,1,1,0,0,0,1,0,0,0,2,30.48,15.24
0,1,1,0,36.460933,-121.78905,385.8768,3,1,1.524,1.2192,0,0,0,100,1,2,3,0,70,3,4,2,0,2,0,1,1,1,0,743.224,0,3,6.096,6.096,6.096,1,0,0,0,0,1,0,0,0,2,60.96,12.192
0,1,1,0,36.453517,-121.778417,470.0016,2,1,2.4384,1.2192,10,1,0,100,2,1,0,0,40,3,4,0,0,1,1,1,1,1,0,696.7725,0,2,7.62,7.62,7.62,1,0,0,0,0,1,0,0,0,2,45.72,15.24
0,1,1,0,36.440714,-121.792842,451.4088,2,1,3.048,2.4384,0,0,0,100,1,2,3,3,20,3,0,0,0,2,1,1,1,1,0,7432.24,0,3,15.24,15.24,99.9744,1,0,1,0,0,0,0,0,0,4,121.92,60.96
0,1,1,0,36.43959,-121.78063,47.8536,2,1,0.6096,0.3048,5,2,0,80,2,0,0,0,10,3,0,0,0,0,1,4,1,1,0,167.2254,0,2,3.048,3.048,97.536,1,0,0,0,0,0,0,0,0,1,12.192,13.716
1,1,1,1,37.37965,-121.731567,562.9656,2,1,3.048,1.524,10,2,0,100,1,3,0,0,10,3,2,4,0,1,1,1,1,1,0,1741.93125,0,2,6.096,129.54,2438.4,1,1,1,0,0,1,0,0,0,2,45.72,38.1
1,1,1,1,36.499873,-121.767681,3.6576,2,1,3.048,0.9144,70,1,3,30,1,3,4,0,20,1,2,0,0,1,0,0,0,1,0,83.6127,2,2,3.048,430.0728,685.8,0,1,1,0,1,0,0,0,0,1,9.144,9.144
1,1,1,1,37.061598,-121.41317,642.8232,2,1,1.524,1.524,0,0,0,100,2,0,0,0,90,3,0,0,0,2,0,1,1,1,0,139.3545,0,2,12.192,12.192,2438.4,1,0,0,0,1,0,0,0,0,1,15.24,9.144
1,1,1,1,37.059072,-121.409686,500.7864,2,1,2.4384,1.524,0,0,0,90,1,2,3,0,25,3,4,2,1,2,2,1,1,1,0,130.0642,0,2,15.24,15.24,2438.4,1,0,0,0,1,1,0,0,0,1,12.192,10.668
1,1,1,1,37.07699,-121.464064,260.9088,3,1,1.524,0.9144,15,1,0,90,2,0,0,0,10,3,2,0,0,1,1,1,1,1,0,185.806,0,2,15.24,45.72,304.8,1,0,1,0,1,0,0,0,0,1,15.24,12.192
1,1,1,1,37.065787,-121.444237,278.892,3,1,2.4384,1.2192,30,1,0,80,1,0,0,0,30,4,0,0,0,3,1,1,1,1,0,167.2254,0,2,99.06,99.06,1828.8,1,1,0,0,1,0,0,0,0,1,13.716,12.192
1,1,1,1,37.063912,-121.447029,278.892,2,1,3.048,3.048,15,1,0,95,1,5,0,0,95,1,1,0,0,2,1,1,1,1,0,650.321,0,2,4.572,91.44,1828.8,0,1,1,0,1,0,0,0,0,2,30.48,21.336
1,1,1,1,36.530333,-121.9168,3.6576,2,1,3.048,1.2192,0,0,0,100,1,0,0,0,5,2,5,0,0,1,1,1,1,1,0,232.2575,0,3,27.432,27.432,45.72,1,1,0,0,0,1,0,0,0,2,15.24,15.24
1,1,1,1,37.973056,-122.75683,375.8184,3,1,3.048,3.048,10,1,0,90,2,1,0,0,40,3,4,0,0,1,1,0,0,1,0,2090.3175,0,1,6.096,6.096,1310.64,1,0,0,0,1,0,0,0,0,3,45.72,45.72
1,1,1,1,38.059654,-122.808474,7.9248,3,1,1.2192,0.6096,0,0,0,100,1,2,3,3,80,3,1,0,0,3,1,2,1,1,0,148.6448,0,2,67.056,67.056,128.016,1,0,0,0,0,0,0,0,0,1,12.192,12.192
1,1,1,1,38.0570864,-122.80971,7.9248,2,1,3.048,1.2192,0,0,0,100,2,1,0,0,100,3,1,0,0,1,1,2,0,1,0,23225.75,0,2,15.24,15.24,15.24,1,0,0,0,0,0,0,0,0,3,152.4,152.4
1,1,1,1,36.467267,-121.770833,537.6672,2,1,3.048,2.4384,0,0,0,100,1,0,0,0,50,3,4,0,0,3,2,1,1,1,0,2090.3175,0,2,237.744,237.744,237.744,1,0,0,0,0,1,0,0,0,2,45.72,45.72
1,1,1,1,37.972506,-122.725607,537.6672,4,2,1.524,0.9144,0,0,0,45,2,0,0,0,20,3,0,0,0,0,1,1,1,1,0,2090.3175,0,2,237.744,237.744,237.744,1,0,0,0,0,1,0,0,0,2,45.72,45.72
1,1,1,1,36.440923,-121.79331,456.8952,3,3,2.4384,1.8288,0,0,0,60,2,1,0,0,15,3,1,0,0,1,2,1,1,1,0,422.70865,0,3,3.048,3.048,3.048,1,0,0,0,0,0,0,0,0,2,19.812,21.336
1,1,1,1,36.472633,-121.803933,447.7512,2,1,3.048,2.4384,5,1,0,100,1,2,0,0,40,3,2,0,0,2,2,1,1,1,0,1300.642,0,2,9.7536,9.7536,137.16,1,0,0,0,0,1,0,0,0,2,60.96,21.336
1,1,1,1,36.446294,-121.777507,502.0056,3,1,0.9144,0.6096,10,1,0,40,2,1,0,0,10,3,0,0,0,2,2,1,1,0,3,83.6127,0,2,121.92,121.92,304.8,1,0,0,0,0,0,0,0,0,0,9.144,9.144
0,0,0,NA,36.598856,-121.869975,11.8872,4,3,4.572,4.572,5,2,0,50,2,0,0,0,5,3,0,0,0,1,1,5,1,1,0,33445.08,1,4,3.048,3.048,3.048,0,0,0,0,0,0,0,0,1,4,182.88,182.88
0,0,0,NA,36.593783,-121.835533,19.5072,2,1,1.2192,0.9144,20,2,0,90,1,3,4,2,30,3,5,4,1,1,1,5,1,0,3,8361.27,0,4,1.524,12.192,12.192,1,0,0,0,0,1,0,0,1,3,91.44,91.44
0,0,0,NA,36.607607,-121.858369,2.4384,4,3,4.572,4.572,0,0,0,80,2,0,0,0,0,0,0,0,0,0,0,5,1,1,0,19509.63,4,4,1.524,1.524,1.524,0,0,0,0,0,0,0,0,1,4,91.44,213.36
1,0,1,0,36.961778,-122.100288,31.6992,3,2,3.048,1.2192,0,0,0,15,2,0,0,0,5,3,0,0,0,0,0,3,1,1,0,929.03,0,5,36.576,36.576,36.576,1,0,0,0,0,0,0,0,1,2,30.48,30.48
0,1,1,0,38.085119,-122.817174,10.9728,3,1,1.524,1.524,0,0,0,50,1,0,0,0,10,3,2,0,0,1,1,2,1,1,0,1337.8032,0,4,15.24,15.24,60.96,1,0,0,0,0,0,0,0,1,2,24.384,54.864
0,0,0,NA,36.6051,-121.856383,2.7432,4,3,4.572,4.572,5,2,0,70,2,1,5,0,15,4,0,0,0,1,1,5,1,1,0,27870.9,1,4,4.572,1.524,1.524,0,0,0,0,0,0,1,0,1,4,91.44,304.8
0,1,1,0,37.3797,-121.7405,548.0304,2,1,6.096,3.048,10,2,0,70,1,5,0,0,5,2,3,0,0,1,0,1,1,1,0,14864.48,2,3,4.572,5.4864,1371.6,1,1,1,0,0,0,0,1,0,4,121.92,121.92
0,1,1,0,37.064273,-121.415269,642.8232,3,1,3.048,3.048,0,0,0,90,2,1,0,0,50,4,3,0,0,3,1,1,1,1,0,1300.642,0,2,3.048,18.288,2438.4,0,0,0,0,0,0,0,1,0,4,60.96,21.336
0,1,1,0,36.458567,-121.8006,416.9664,2,1,4.572,2.4384,0,0,0,90,2,5,0,0,5,3,0,0,0,0,0,1,1,1,0,464.515,2,3,0,6.096,9.144,1,0,0,0,0,0,0,1,0,4,30.48,15.24
0,0,0,NA,36.598283,-121.88445,3.6576,5,3,4.572,4.572,5,2,0,20,2,1,0,0,5,3,5,0,0,1,1,5,1,1,0,66890.16,1,5,1.524,1.524,1.524,0,0,0,0,0,0,0,1,1,4,182.88,365.76
0,0,0,NA,36.59225,-121.8645,32.6136,4,4,1.2192,0.9144,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,0,2787.09,2,5,5.4864,32.004,32.004,0,0,0,0,0,0,0,1,1,3,45.72,60.96
0,1,1,0,36.4953,-121.766,231.648,2,1,3.048,1.2192,10,1,0,60,1,0,0,0,10,3,0,0,0,1,1,1,1,1,0,975.4815,2,3,6.096,6.096,719.9376,0,1,1,0,1,1,0,1,1,2,45.72,21.336
1,1,1,1,37.99646459,-122.7596855,85.9536,3,1,4.572,4.572,10,1,0,100,5,1,0,0,10,6,3,0,0,2,1,0,1,1,0,7432.24,0,3,3.048,3.048,15.24,1,0,0,0,1,0,0,1,1,4,121.92,60.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0875,0.125,,,
